sale_id,order_date,salesman_name,salesman_area,salesman_team,outlet_name,outlet_type,outlet_segment,city,province,region,product_name,brand,category,unit,cost_price,quantity,unit_price,discount,total_amount
TRX-020275,2024-12-09,Joko Widodo,Semarang,Tim B,Toko Makmur,Toko Kelontong,General Trade,Surabaya,Jawa Timur,Jawa,Rinso Anti Noda,Unilever,Deterjen,karton,72000,22,95000,0,2090000.0
TRX-086524,2024-09-27,Kartika Sari,Jakarta,Tim C,Toko Sejahtera,Toko Kelontong,General Trade,Tangerang,Banten,Jawa,Indomie Rebus,Indofood,Mie Instan,karton,62000,31,82000,2.5,2478450.0
TRX-028806,2024-10-27,Fajar Nugroho,Jakarta,Tim A,Toko Maju Jaya,Toko Kelontong,General Trade,Denpasar,Bali,Bali,Milo Activ,Nestle,Minuman,karton,92000,6,120000,5,684000.0
TRX-023815,2024-10-27,Maya Anggraini,Surabaya,Tim B,Toko Berkah,Toko Kelontong,General Trade,Bogor,Jawa Barat,Jawa,Chitato Sapi Panggang,Indofood,Snack,karton,55000,8,75000,0,600000.0
TRX-087857,2024-09-27,Nanda Putra,Medan,Tim C,Hypermart Surabaya,Hypermarket,Modern Trade,Palembang,Sumatera Selatan,Sumatera,Lifebuoy Sabun,Unilever,Personal Care,lusin,74000,39,98000,0,3822000.0
TRX-007139,2024-05-01,Dian Pratama,Medan,Tim B,Indomaret Depok,Minimarket,Modern Trade,Bogor,Jawa Barat,Jawa,Kopi Kapal Api,Kapal Api,Kopi,karton,58000,13,78000,5,963300.0
TRX-053488,2024-09-17,Joko Widodo,Semarang,Tim B,Indomaret Tangerang,Minimarket,Modern Trade,Bogor,Jawa Barat,Jawa,Aqua 600ml,Danone,Minuman,karton,48000,30,65000,15,1657500.0
TRX-087683,2024-02-24,Maya Anggraini,Surabaya,Tim B,Superindo Medan,Supermarket,Modern Trade,Makassar,Sulawesi Selatan,Sulawesi,Kopi Kapal Api,Kapal Api,Kopi,karton,58000,45,78000,0,3510000.0
TRX-032774,2024-08-10,Lukman Hakim,Bandung,Tim A,Toko Berkah,Toko Kelontong,General Trade,Bandung,Jawa Barat,Jawa,Rinso Anti Noda,Unilever,Deterjen,karton,72000,25,95000,0,2375000.0
TRX-052848,2024-06-06,Nanda Putra,Medan,Tim C,Warung Bu Siti,Warung,General Trade,Bogor,Jawa Barat,Jawa,Ultra Milk Full Cream,Ultra,Minuman,karton,88000,35,115000,0,4025000.0
